課名,教師,流水號,課號,課程識別碼,必選修,開課系所,上課時間,上課地點,加簽類別,授課語言,學分,修課人數上限,詳情頁URL
智慧城市中的資料科學與通訊,王超,71477,TA11420158,TACSU0051,選修,,四 2,公館 Ｓ306,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/71477
科技系統與社會發展,紀博文,71478,TA11420159,TACSU0052,選修,,"五 3,4",公館 綜合館B1小,3 類,,2,,https://course.ntu.edu.tw/courses/114-2/71478
特殊教育研究評論,張蓓莉,71480,TA11420160,TASPD0034,選修,,"二 1,2",和平 特230,3 類,,2,,https://course.ntu.edu.tw/courses/114-2/71480
臺灣文化、語言及文學,曾偉旻,71481,TA11420161,TATCU1016,選修,,"五 1,2",和平 誠206,3 類,,2,,https://course.ntu.edu.tw/courses/114-2/71481
圍棋與東亞文化,張曉茵,71489,TA11420162,TA04UG041,選修,,"二 6,7",和平 正204,3 類,,2,,https://course.ntu.edu.tw/courses/114-2/71489
英語漢學名著選讀批判性研究,郭芳如,71494,TA11420163,TACHC9006,選修,,"三 8,9",和平 樸203,3 類,,2,,https://course.ntu.edu.tw/courses/114-2/71494
近代物理學（二）,陳啟明,71497,TA11420164,TAPHU0237,選修,,"二 3,4 / 四 4",,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/71497
近代物理探索與應用（二）,陳啟明,71498,TA11420165,TAPHU0265,選修,,四 3,公館 Ｂ103,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/71498
西洋古典音樂,劉錦紋,71524,TA11420166,TA01UG003,選修,,"二 6,7",公館 Ｂ101,3 類,,2,,https://course.ntu.edu.tw/courses/114-2/71524
華語文語言政策研究,楊聰榮,71507,TA11420167,TACLC8016,選修,,"一 2,3,4",和平 博1003,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/71507
外交決策分析,徐筱琦,71508,TA11420168,TAEAC9025,選修,,"二 2,3,4",和平 正303,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/71508
熱力學,鄧敦建,71513,TA11420169,TAMTU0039,選修,,"五 2,3,4",和平 綜509國際會,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/71513
電分析化學（二）,李君婷,71529,TA11420174,TACMC0072,選修,,"四 7,8,9",公館 Ｓ402,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/71529
電腦輔助英語學習,曾俊傑,71533,TA11420175,TAENU0213,選修,,"二 6,7,8",和平 誠701A,2 類,,3,,https://course.ntu.edu.tw/courses/114-2/71533
高等教育領導與學生發展專題研究,余穎麒,71553,TA11420177,TAEDD0169,選修,,"二 2,3,4",和平 教813,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/71553
客家歌謠表演實務與多元詮釋,姜雲玉,71554,TA11420178,TAL0U6021,選修,,"四 3,4",和平 正406,3 類,,2,,https://course.ntu.edu.tw/courses/114-2/71554
南島語系文化圈之音樂研究（二）,錢善華,71555,TA11420179,TAMUC0085,選修,,"一 3,4",和平 樂研一,3 類,,2,,https://course.ntu.edu.tw/courses/114-2/71555
專業筆譯（中譯英）,鄭永康,71571,TA11420180,TATIM1040,選修,,"二 9,10,A",和平 譯506,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/71571
食物製備,沈賜川,70721,TA11420777,TANTNU134,選修,,"一 6,7,8,9",和平 勤001,3 類,,2,,https://course.ntu.edu.tw/courses/114-2/70721
指揮法（二）,張尹芳,70961,TA11422360,TANTNU135,選修,,"二 1,2",和平 音308,3 類,,2,,https://course.ntu.edu.tw/courses/114-2/70961
教學原理（教）,藍淑珠,71579,TA11422361,TA00UE005,選修,,"一 B,C",和平 誠307,3 類,,2,,https://course.ntu.edu.tw/courses/114-2/71579
教學原理（教）,吳柏菱,71592,TA11422361,TA00UE005,選修,,"四 8,9",和平 正203,3 類,,2,,https://course.ntu.edu.tw/courses/114-2/71592
嵌入式系統,呂成凱,71581,TA11422362,TAAEC8011,選修,,"四 7,8,9",和平 多媒體與通,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/71581
脊椎動物學實驗,林思民,71585,TA11422363,TABIU0024,選修,,"五 6,7,8",公館 Ｄ203,3 類,,1,,https://course.ntu.edu.tw/courses/114-2/71585
家庭理論,黃淑滿,71586,TA11422364,TAHGU0198,選修,,"四 6,7,8",和平 誠204,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/71586
電路學（一）,陳美勇,71582,TA11422365,TAIEU4370,選修,,"五 3,4,5",和平 研討六,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/71582
一九四五年以後之音樂研究（二）,林梅芳,71597,TA11422366,TAMUC8010,選修,,"五 7,8",和平 音209,3 類,,2,,https://course.ntu.edu.tw/courses/114-2/71597
近代建築史,楊馥妃,71029,TB10310031,TBAD31063,選修,,"一 2,3,4",TR-617,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/71029
近代建築史,彭英麗,71499,TB10310031,TBAD31063,選修,,"一 2,3,4",TR-509,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/71499
數位互動設計,林權萱,71043,TB10310050,TBAD51207,選修,,"四 2,3,4",T4-301,3 類,,3,,https://course.ntu.edu.tw/courses/114-2/71043
